SWE00139020,20161203,SNWD,0.0,,,E,,,,,,,,,,,,,,
USC00445880,20161203,SNWD,0.0,,,7,,,,,,,,,,,,,,
CA005031A10,20161203,WSFG,320.0,,,C,,,,,,,,,,,,,,
USR0000AFLG,20161203,TMAX,61.0,H,,U,,,,,,,,,,,,,,
ASN00006011,20161203,TMIN,193.0,,,a,,,,,,,,,,,,,,
US1KSRO0001,20161203,WESF,10.0,,,N,,,,,,,,,,,,,,
ASN00014277,20161203,TMIN,282.0,,,a,,,,,,,,,,,,,,
USC00175460,20161203,SNWD,25.0,,,7,700.0,,,,,,,,,,,,,
US1NESY0009,20161203,SNWD,20.0,,,N,,,,,,,,,,,,,,
USC00200197,20161203,TOBS,-17.0,,,7,800.0,,,,,,,,,,,,,
USC00201492,20161203,SNWD,0.0,,,7,800.0,,,,,,,,,,,,,
JA000047777,20161203,PRCP,0.0,,,S,,,,,,,,,,,,,,
US1WYNB0009,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
US1OHWD0012,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
US1MOSL0055,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00405681,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
US1FLPS0006,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
CD000004700,20161203,TMAX,357.0,,,S,,,,,,,,,,,,,,
US1MOFSA215,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
US1COEP0055,20161203,WESF,15.0,,,N,,,,,,,,,,,,,,
RSM00030815,20161203,TMAX,-135.0,,,S,,,,,,,,,,,,,,
USW00027515,20161203,TMIN,-293.0,,,W,,,,,,,,,,,,,,
CA1MB000155,20161203,PRCP,3.0,,,N,,,,,,,,,,,,,,
USW00013997,20161203,TMAX,72.0,,,W,2400.0,,,,,,,,,,,,,
CA00605DJ25,20161203,TMIN,-31.0,,,C,,,,,,,,,,,,,,
US1ORJC0018,20161203,WESD,0.0,,,N,,,,,,,,,,,,,,
USC00472851,20161203,TMAX,22.0,,,7,800.0,,,,,,,,,,,,,
USC00295965,20161203,TMIN,-39.0,,,7,1600.0,,,,,,,,,,,,,
USC00316096,20161203,PRCP,0.0,,,7,2400.0,,,,,,,,,,,,,
USW00053853,20161203,WSF5,94.0,,,W,,,,,,,,,,,,,,
USW00013734,20161203,WDF2,280.0,,,W,,,,,,,,,,,,,,
