station,year,latitude,longitude,elevation,name,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2
USC00083207,2024,27.4419,-80.3508,7.6,FT PIERCE,,5.836842105263158,,,,29.492857142857144,17.978571428571428,
USC00083470,2022,30.2717,-82.1856,39.0,GLEN ST MARY 1 W,,29.0,,,,20.2,9.75,
USC00083470,2024,30.2717,-82.1856,39.0,GLEN ST MARY 1 W,,15.833333333333334,0.0,0.0,,29.428571428571427,16.833333333333336,
USC00083874,2022,29.7653,-81.4697,3.0,HASTINGS 4NE,,4.0,0.0,0.0,,23.85,12.416666666666668,
USC00083874,2023,29.7653,-81.4697,3.0,HASTINGS 4NE,,5.25,0.0,0.0,,24.5,14.433333333333334,
USC00083874,2024,29.7653,-81.4697,3.0,HASTINGS 4NE,,5.113043478260869,0.0,0.0,,29.182608695652174,17.8125,
USC00083909,2022,25.8272,-80.2858,3.7,HIALEAH,,11.0,,,,24.7,20.933333333333334,
USC00083909,2023,25.8272,-80.2858,3.7,HIALEAH,,15.8,,,,28.075,17.683333333333334,
USC00083909,2024,25.8272,-80.2858,3.7,HIALEAH,,5.611111111111111,,,,29.088888888888892,22.07,
USC00084050,2022,26.0281,-80.1342,2.7,HOLLYWOOD,,42.0,,,,26.95,17.375,
USC00084050,2023,26.0281,-80.1342,2.7,HOLLYWOOD,,0.0,,,,28.385714285714283,20.125,
USC00084050,2024,26.0281,-80.1342,2.7,HOLLYWOOD,,7.181818181818182,,,,29.406666666666666,24.514285714285712,
USC00084095,2022,25.5011,-80.55,2.7,HOMESTEAD GEN AVIATION AP,,34.142857142857146,,,,28.560000000000002,14.166666666666666,
USC00084095,2023,25.5011,-80.55,2.7,HOMESTEAD GEN AVIATION AP,,2.5,,,,28.9,11.6,
USC00084095,2024,25.5011,-80.55,2.7,HOMESTEAD GEN AVIATION AP,,16.470588235294116,,,,30.855,20.65625,
USC00084289,2022,28.8028,-82.3128,17.7,INVERNESS 3 SE,,28.0,0.0,0.0,,25.0,12.4,
USC00084289,2023,28.8028,-82.3128,17.7,INVERNESS 3 SE,,8.0,0.0,0.0,,27.925,11.1,
USC00084289,2024,28.8028,-82.3128,17.7,INVERNESS 3 SE,,19.38888888888889,0.0,0.0,,30.31666666666667,19.045454545454547,
USC00084366,2022,30.2875,-81.3928,3.0,JACKSONVILLE BEACH,,31.875,,,,24.066666666666666,14.266666666666666,
USC00084366,2023,30.2875,-81.3928,3.0,JACKSONVILLE BEACH,,0.0,0.0,0.0,,23.533333333333335,12.575,
USC00084366,2024,30.2875,-81.3928,3.0,JACKSONVILLE BEACH,,33.1875,0.0,0.0,,25.48235294117647,19.485,
USC00084394,2022,30.5056,-82.9492,39.6,JASPER,,0.0,,,,11.1,15.6,
USC00084394,2024,30.5056,-82.9492,39.6,JASPER,,5.253846153846154,0.0,0.0,,29.3125,17.94,
USC00084412,2022,25.1936,-80.3492,1.8,JOHN PENNEKAMP SP,,0.0,,,,27.385714285714283,17.614285714285714,
USC00084412,2023,25.1936,-80.3492,1.8,JOHN PENNEKAMP SP,,12.075,,,,27.23333333333333,20.11,
